Missing package-info java file,JavadocPackage ,,
Utility classes should not have a public or default constructor,HideUtilityClassConstructor ,,
Missing a Javadoc comment,MissingJavadocMethod ,,
Parameter args should be final,FinalParameters ,,
File contains tab characters (this is the first instance),FileTabCharacter ,,
Line has trailing spaces,RegexpSingleline ,,
Line has trailing spaces,RegexpSingleline ,,
Line is longer than characters (found ),LineLength ,,
Line has trailing spaces,RegexpSingleline ,,
Line is longer than characters (found ),LineLength ,,
Missing package-info java file,JavadocPackage ,,
Utility classes should not have a public or default constructor,HideUtilityClassConstructor ,,
Missing a Javadoc comment,MissingJavadocMethod ,,
Parameter args should be final,FinalParameters ,,
'' is a magic number,MagicNumber ,,
'' is a magic number,MagicNumber ,,
'' is a magic number,MagicNumber ,,
'' is a magic number,MagicNumber ,,
Line is longer than characters (found ),LineLength ,,
Missing package-info java file,JavadocPackage ,,
Utility classes should not have a public or default constructor,HideUtilityClassConstructor ,,
'{' is not preceded with whitespace,WhitespaceAround ,,
Line has trailing spaces,RegexpSingleline ,,
Line has trailing spaces,RegexpSingleline ,,
Missing a Javadoc comment,MissingJavadocMethod ,,
Parameter args should be final,FinalParameters ,,
'{' at column should be on the previous line,LeftCurly ,,
Line is longer than characters (found ),LineLength ,,
Line is longer than characters (found ),LineLength ,,
Line is longer than characters (found ),LineLength ,,
Line has trailing spaces,RegexpSingleline ,,
'}' is not followed by whitespace,WhitespaceAround ,,
'}' is not preceded with whitespace,WhitespaceAround ,,
Missing package-info java file,JavadocPackage ,,
Utility classes should not have a public or default constructor,HideUtilityClassConstructor ,,
Missing a Javadoc comment,MissingJavadocMethod ,,
Parameter args should be final,FinalParameters ,,
Line is longer than characters (found ),LineLength ,,
Line is longer than characters (found ),LineLength ,,
Line is longer than characters (found ),LineLength ,,
Missing package-info java file,JavadocPackage ,,
Utility classes should not have a public or default constructor,HideUtilityClassConstructor ,,
File contains tab characters (this is the first instance),FileTabCharacter ,,
Missing a Javadoc comment,MissingJavadocMethod ,,
Parameter args should be final,FinalParameters ,,
'{' is not preceded with whitespace,WhitespaceAround ,,
Missing package-info java file,JavadocPackage ,,
Line has trailing spaces,RegexpSingleline ,,
Line is longer than characters (found ),LineLength ,,
Utility classes should not have a public or default constructor,HideUtilityClassConstructor ,,
Line has trailing spaces,RegexpSingleline ,,
Line has trailing spaces,RegexpSingleline ,,
Line is longer than characters (found ),LineLength ,,
Line is longer than characters (found ),LineLength ,,
Line has trailing spaces,RegexpSingleline ,,
Line is longer than characters (found ),LineLength ,,
Parameter args should be final,FinalParameters ,,
Line has trailing spaces,RegexpSingleline ,,
Line has trailing spaces,RegexpSingleline ,,
Line has trailing spaces,RegexpSingleline ,,
Line is longer than characters (found ),LineLength ,,
Line has trailing spaces,RegexpSingleline ,,
File does not end with a newline,NewlineAtEndOfFile ,,
Missing package-info java file,JavadocPackage ,,
Line has trailing spaces,RegexpSingleline ,,
Utility classes should not have a public or default constructor,HideUtilityClassConstructor ,,
'{' is not preceded with whitespace,WhitespaceAround ,,
Missing a Javadoc comment,MissingJavadocMethod ,,
Parameter args should be final,FinalParameters ,,
